id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,date,quarter,log_price,price_category,availability_rate,is_highly_available,quarter_num,is_peak_season,neighborhood_avg_price,neighborhood_median_price,neighborhood_count,price_premium_pct,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,Roxbury,42.32844,-71.09581,Entire home/apt,142.0,3,128,2024-08-29,0.68,10,65,9,2024-09-18,Q1,4.955827057601261,Moderate,0.1780821917808219,False,1,False,162.97,128.0,700,-12.867398907774435,True,False,False
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,Roxbury,42.32802,-71.09387,Entire home/apt,171.0,3,132,2024-08-18,0.72,10,58,7,2024-09-18,Q1,5.14166355650266,Comfort,0.1589041095890411,False,1,False,162.97,128.0,700,4.9272872307786715,True,False,False
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,Back Bay,42.35173,-71.08685,Entire home/apt,130.0,91,9,2019-07-22,0.09,13,228,0,2024-09-18,Q1,4.867534450455582,Moderate,0.6246575342465753,True,1,False,273.15,224.0,639,-52.40710232472999,True,False,False
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,Back Bay,42.35061,-71.08787,Entire home/apt,117.0,32,5,2023-11-19,0.07,13,324,1,2024-09-18,Q1,4.762173934797756,Moderate,0.8876712328767123,True,1,False,273.15,224.0,639,-57.166392092257,True,False,False
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air,71783,Lance,Dorchester,42.32212,-71.06096,Entire home/apt,143.0,30,52,2023-08-19,0.3,29,138,0,2024-09-18,Q1,4.962844630259907,Moderate,0.3780821917808219,False,1,False,118.56,91.0,1084,20.614035087719294,True,False,False
40601,Private room & bath - Jamaica Plain,174986,Robert,Jamaica Plain,42.31347,-71.11082,Private room,102.0,29,100,2024-08-10,0.58,1,180,5,2024-09-18,Q1,4.624972813284271,Moderate,0.4931506849315068,False,1,False,210.5,156.5,392,-51.543942992874115,False,False,True
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,Dorchester,42.29871,-71.05954,Private room,110.0,1,334,2024-09-02,1.96,5,355,2,2024-09-18,Q1,4.700480365792417,Moderate,0.9726027397260274,True,1,False,118.56,91.0,1084,-7.219973009446695,False,False,True
60029,Room in geographical heart of Hub,255183,Michelle,Roxbury,42.32546,-71.08894,Private room,80.0,29,145,2024-02-29,0.87,5,107,2,2024-09-18,Q1,4.382026634673881,Budget,0.29315068493150687,False,1,False,162.97,128.0,700,-50.91121065226729,False,False,True
67774,Corner 1 bed facing Golden Dome,26988,Anne,Downtown,42.35689,-71.06206,Entire home/apt,135.0,91,49,2024-05-31,0.34,4,118,1,2024-09-18,Q1,4.90527477843843,Moderate,0.3232876712328767,False,1,False,613.64,268.0,817,-78.00013036959781,True,False,False
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,Charlestown,42.37865,-71.06373,Private room,140.0,29,71,2023-11-04,0.45,1,365,6,2024-09-18,Q1,4.941642422609304,Moderate,1.0,True,1,False,313.87,209.0,188,-55.39554592665753,False,False,True
77691,Private room in Victorian house,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,110.0,1,302,2024-09-02,1.83,5,353,3,2024-09-18,Q1,4.700480365792417,Moderate,0.9671232876712329,True,1,False,118.56,91.0,1084,-7.219973009446695,False,False,True
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,Roxbury,42.32806,-71.09423,Entire home/apt,263.0,3,280,2024-08-23,1.76,10,59,13,2024-09-18,Q1,5.572154032177765,Expensive,0.16164383561643836,False,1,False,162.97,128.0,700,61.379394980671286,True,False,False
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,Jamaica Plain,42.31331,-71.12061,Private room,67.0,30,60,2024-08-28,0.38,1,127,4,2024-09-18,Q1,4.204692619390966,Budget,0.34794520547945207,False,1,False,210.5,156.5,392,-68.17102137767222,False,False,True
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,Jamaica Plain,42.31533,-71.11025,Entire home/apt,142.0,3,521,2024-09-09,3.31,2,81,50,2024-09-18,Q1,4.955827057601261,Moderate,0.2219178082191781,False,1,False,210.5,156.5,392,-32.541567695961994,True,False,False
205894,Large bedroom in Victorian House/Room D,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,80.0,1,217,2024-05-19,1.37,5,187,2,2024-09-18,Q1,4.382026634673881,Budget,0.5123287671232877,True,1,False,118.56,91.0,1084,-32.523616734143054,False,False,True
210097,Treetop Haven in the City,1035747,Maria Elena,Jamaica Plain,42.31685,-71.10867,Entire home/apt,141.0,3,307,2024-09-14,1.94,1,157,26,2024-09-18,Q1,4.948759890378168,Moderate,0.4301369863013699,False,1,False,210.5,156.5,392,-33.0166270783848,True,False,False
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,South Boston,42.33255,-71.04125,Entire home/apt,300.0,2,495,2024-09-02,3.34,1,221,44,2024-09-18,Q1,5.703782474656201,Expensive,0.6054794520547945,True,1,False,263.12,209.0,396,14.016418364244448,True,False,False
297994,Your cozy stay in South Boston,1536237,Albert,South Boston,42.33583,-71.05271,Entire home/apt,190.0,3,57,2024-09-02,0.37,1,50,11,2024-09-18,Q1,5.247024072160486,Comfort,0.136986301369863,False,1,False,263.12,209.0,396,-27.789601702645182,True,False,False
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,50.0,1,94,2024-09-03,0.64,5,298,37,2024-09-18,Q1,3.912023005428146,,0.8164383561643835,True,1,False,118.56,91.0,1084,-57.827260458839405,False,False,True
447826,"Sweet Little House in JP, Boston",2053557,Hilary,Jamaica Plain,42.31658,-71.11012,Private room,75.0,5,407,2024-09-11,2.73,1,215,24,2024-09-18,Q1,4.31748811353631,Budget,0.589041095890411,True,1,False,210.5,156.5,392,-64.37054631828978,False,False,True
533152,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-,71783,Lance,Dorchester,42.32212,-71.06096,Entire home/apt,135.0,30,63,2024-07-16,0.5,29,309,2,2024-09-18,Q1,4.90527477843843,Moderate,0.8465753424657534,True,1,False,118.56,91.0,1084,13.8663967611336,True,False,False
579605,230B3  · The Mayhew w/Central AC and Laundry! | 2B,71783,Lance,Dorchester,42.32212,-71.06095,Entire home/apt,145.0,30,58,2023-08-14,0.39,29,247,0,2024-09-18,Q1,4.976733742420574,Moderate,0.6767123287671233,True,1,False,118.56,91.0,1084,22.30094466936572,True,False,False
611081,Houseboat in Boston Harbor,3029783,Deborah,Charlestown,42.37579,-71.04981,Entire home/apt,238.0,2,121,2024-08-16,1.24,3,314,33,2024-09-18,Q1,5.472270673671475,Expensive,0.8602739726027397,True,1,False,313.87,209.0,188,-24.17242807531781,True,False,False
619142,Getaway in Historic Charlestown,501427,Joe,Charlestown,42.377338,-71.063095,Entire home/apt,175.0,3,189,2024-09-01,1.28,1,0,10,2024-09-18,Q1,5.1647859739235145,Comfort,0.0,False,1,False,313.87,209.0,188,-44.24443240832191,True,False,False
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,South Boston,42.33451,-71.04983,Private room,213.0,1,8,2022-05-30,0.08,1,168,0,2024-09-18,Q1,5.3612921657094255,Expensive,0.4602739726027397,False,1,False,263.12,209.0,396,-19.048342961386442,False,False,True
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,Charlestown,42.37826919555664,-71.06332397460938,Entire home/apt,207.0,2,476,2024-09-14,3.28,1,224,42,2024-09-18,Q1,5.332718793265369,Expensive,0.6136986301369863,True,1,False,313.87,209.0,188,-34.04912862012935,True,False,False
750438,"Private room for 1 person only, separate bathroom",3945438,Lisa,Jamaica Plain,42.30733,-71.11129,Private room,94.0,2,287,2024-09-11,2.09,1,326,27,2024-09-18,Q1,4.543294782270004,Budget,0.8931506849315068,True,1,False,210.5,156.5,392,-55.34441805225653,False,False,True
753446,6 miles away from downtown Boston!,3962517,Sami,Roslindale,42.28573,-71.12334,Private room,55.0,91,142,2019-07-27,1.29,1,365,0,2024-09-18,Q1,4.007333185232471,Budget,1.0,True,1,False,134.0,110.0,236,-58.95522388059702,False,False,True
801680,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,8229,Terry,Roxbury,42.32795,-71.09412,Entire home/apt,164.0,3,70,2024-05-16,0.49,10,55,3,2024-09-18,Q1,5.099866427824199,Comfort,0.1506849315068493,False,1,False,162.97,128.0,700,0.6320181628520594,True,False,False
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,Downtown,42.3558,-71.06104,Entire home/apt,516.0,2,182,2024-09-18,1.31,2,306,66,2024-09-18,Q1,6.246106765481563,Premium,0.8383561643835616,True,1,False,613.64,268.0,817,-15.91160941268496,True,False,False
849408,"Perfect & Practical Boston Rental (1,500+ sqft)",4434391,Damon,Roslindale,42.29038,-71.13919,Entire home/apt,369.0,4,103,2024-08-13,0.79,2,110,17,2024-09-18,Q1,5.910796644040527,Expensive,0.3013698630136986,False,1,False,134.0,110.0,236,175.37313432835822,True,False,False
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,North End,42.3665,-71.05296,Entire home/apt,80.0,29,613,2023-10-28,4.38,1,93,10,2024-09-18,Q1,4.382026634673881,Budget,0.2547945205479452,False,1,False,289.53,226.5,176,-72.36901184678617,True,False,False
894539,Private room in house,4762495,Jennifer,Roslindale,42.29017,-71.13169,Private room,100.0,29,63,2022-08-30,0.47,2,81,0,2024-09-18,Q1,4.605170185988092,Budget,0.2219178082191781,False,1,False,134.0,110.0,236,-25.37313432835821,False,False,True
962610,Convenient Boston Hotel Alternative,4434391,Damon,West Roxbury,42.29175,-71.14096,Entire home/apt,141.0,6,101,2024-08-31,0.75,2,127,5,2024-09-18,Q1,4.948759890378168,Moderate,0.34794520547945207,False,1,False,195.94,107.0,180,-28.039195672144533,True,False,False
973695,Best Location Luxury Beacon Hill North End Condo,1760577,Claire,Downtown,42.359764099121094,-71.06116485595703,Private room,200.0,91,61,2022-09-11,0.45,1,365,0,2024-09-18,Q1,5.298317366548036,Comfort,1.0,True,1,False,613.64,268.0,817,-67.40760054755232,False,False,True
989163,"The Dalton - The Upton Boston, South End",5430185,Laura And Olivia,South End,42.34308,-71.07316,Entire home/apt,245.0,2,82,2024-09-01,0.61,7,83,9,2024-09-18,Q1,5.501258210544727,Expensive,0.2273972602739726,False,1,False,261.17,204.0,585,-6.191369606003758,True,False,False
1071235,Cozy JP Studio-Great Location!,965697,Chris & Kristina,Jamaica Plain,42.31653,-71.11049,Entire home/apt,143.0,3,368,2024-09-10,2.66,2,133,41,2024-09-18,Q1,4.962844630259907,Moderate,0.3643835616438356,False,1,False,210.5,156.5,392,-32.066508313539195,True,False,False
1090545,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,1984434,Irene,Back Bay,42.34475,-71.08204,Private room,214.0,29,117,2019-12-06,0.85,1,364,0,2024-09-18,Q1,5.365976015021851,Expensive,0.9972602739726028,True,1,False,273.15,224.0,639,-21.654768442247843,False,False,True
1109224,4 bedroom Victorian Condo unit,1531239,Lita,Jamaica Plain,42.32031,-71.1129,Entire home/apt,519.0,2,93,2024-05-26,0.69,1,299,3,2024-09-18,Q1,6.251903883165888,Premium,0.8191780821917808,True,1,False,210.5,156.5,392,146.55581947743468,True,False,False
1130279,"North End 3 BR Condo - Spacious, Perfect  Location",2494599,Trisha,North End,42.36489,-71.05198,Entire home/apt,571.0,2,164,2024-09-02,1.19,1,280,28,2024-09-18,Q1,6.3473892096560105,Premium,0.7671232876712328,True,1,False,289.53,226.5,176,97.21617794356374,True,False,False
1275498,"The Washington - The Upton Boston, South End",5430185,Laura And Olivia,South End,42.34294,-71.07304,Entire home/apt,344.0,2,110,2024-09-11,0.81,7,62,16,2024-09-18,Q1,5.840641657373398,Expensive,0.16986301369863013,False,1,False,261.17,204.0,585,31.714974920549828,True,False,False
1303261,Historic Beacon Hill,2120816,Larry,Beacon Hill,42.35714,-71.06968,Entire home/apt,425.0,91,23,2018-10-25,0.17,1,358,0,2024-09-18,Q1,6.052089168924417,Expensive,0.9808219178082191,True,1,False,188.61,142.5,476,125.33269709983563,True,False,False
1445064,Bright Sunlit bedroom near MGH labs/Downtown,4724006,Rosalia,Charlestown,42.38017,-71.06236,Private room,65.0,29,117,2024-05-19,0.87,1,301,3,2024-09-18,Q1,4.174387269895637,Budget,0.8246575342465754,True,1,False,313.87,209.0,188,-79.29078918023386,False,False,True
1545185,Large Studio Apt w/ Full Kitchen & Bath + Parking!,697401,Nick,Brighton,42.34873,-71.15693,Entire home/apt,140.0,2,249,2024-09-10,1.87,4,41,27,2024-09-18,Q1,4.941642422609304,Moderate,0.11232876712328767,False,1,False,161.32,132.0,532,-13.215968261839816,True,False,False
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Kevin,Roxbury,42.3256,-71.09413,Private room,59.0,31,25,2024-07-28,0.32,3,249,1,2024-09-18,Q1,4.07753744390572,Budget,0.6821917808219178,True,1,False,162.97,128.0,700,-63.79701785604712,False,False,True
1644031,Large Private Bedroom & Bathroom by the Seaport,79583794,Joshua,South Boston,42.33835,-71.0472,Private room,162.0,1,555,2024-09-15,5.32,1,40,80,2024-09-18,Q1,5.087596335232384,Comfort,0.1095890410958904,False,1,False,263.12,209.0,396,-38.431134083308,False,False,True
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,Jamaica Plain,42.31293,-71.11527,Entire home/apt,170.0,2,299,2024-09-11,2.25,1,297,28,2024-09-18,Q1,5.135798437050262,Comfort,0.8136986301369863,True,1,False,210.5,156.5,392,-19.239904988123516,True,False,False
1721016,Quiet Sunlit Attic Studio,7723912,Fj,Roslindale,42.28639,-71.13199,Entire home/apt,95.0,29,12,2024-08-03,0.12,2,353,2,2024-09-18,Q1,4.553876891600541,Budget,0.9671232876712329,True,1,False,134.0,110.0,236,-29.1044776119403,True,False,False
1732804,Private room/ MUST LOVE DOGS,9090219,Thomas,Dorchester,42.29009,-71.05762,Private room,75.0,1,184,2024-08-04,1.38,1,316,11,2024-09-18,Q1,4.31748811353631,Budget,0.8657534246575342,True,1,False,118.56,91.0,1084,-36.74089068825911,False,False,True
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,South End,42.34279,-71.0711,Entire home/apt,985.0,5,51,2024-08-30,0.41,1,170,1,2024-09-18,Q1,6.892641641172089,Premium,0.4657534246575342,False,1,False,261.17,204.0,585,277.1489834207604,True,False,False
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,Fenway,42.34981,-71.09476,Entire home/apt,265.0,91,2,2018-05-24,0.02,4,362,0,2024-09-18,Q1,5.579729825986222,Expensive,0.9917808219178083,True,1,False,249.06,206.0,524,6.40006424154822,True,False,False
2014651,One Private Bedroom in J.P.,2155838,Molly,Jamaica Plain,42.30593,-71.10733,Private room,120.0,91,38,2019-09-02,0.29,1,365,0,2024-09-18,Q1,4.787491742782046,Moderate,1.0,True,1,False,210.5,156.5,392,-42.99287410926366,False,False,True
2021483,Spacious Updated 2 Bed Boston Condo w/ Deck,10197317,Shannon,South Boston,42.3358,-71.04948,Entire home/apt,500.0,29,22,2024-07-21,0.22,7,179,2,2024-09-18,Q1,6.214608098422191,Expensive,0.4904109589041096,False,1,False,263.12,209.0,396,90.02736394040741,True,False,False
2021489,Spacious Updated Boston Room/Condo,10197317,Shannon,South Boston,42.33375,-71.04767,Private room,220.0,29,85,2023-08-11,0.83,7,365,0,2024-09-18,Q1,5.393627546352362,Expensive,1.0,True,1,False,263.12,209.0,396,-16.387959866220736,False,False,True
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,Beacon Hill,42.35771,-71.06978,Entire home/apt,190.0,29,126,2024-08-16,0.99,1,148,7,2024-09-18,Q1,5.247024072160486,Comfort,0.4054794520547945,False,1,False,188.61,142.5,476,0.7369704681618081,True,False,False
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,Allston,42.34995,-71.13427,Entire home/apt,130.0,30,54,2024-07-05,0.46,1,130,4,2024-09-18,Q1,4.867534450455582,Moderate,0.3561643835616438,False,1,False,142.58,108.0,216,-8.823116846682572,True,False,False
2215762,"The Clare - The Upton Boston, South End",5430185,Laura And Olivia,South End,42.342121,-71.075073,Entire home/apt,287.0,3,86,2024-07-23,0.68,7,76,17,2024-09-18,Q1,5.659482215759621,Expensive,0.20821917808219179,False,1,False,261.17,204.0,585,9.890109890109883,True,False,False
2292495,furnished 1 bed apartment copley #5,9653086,Glenn,South End,42.34125,-71.07604,Entire home/apt,135.0,33,80,2024-03-11,0.66,6,228,3,2024-09-18,Q1,4.90527477843843,Moderate,0.6246575342465753,True,1,False,261.17,204.0,585,-48.309530191063295,True,False,False
2495047,"The Tremont - The Upton Boston, South End",5430185,Laura And Olivia,South End,42.34309,-71.07316,Entire home/apt,283.0,2,83,2024-08-13,0.68,7,49,12,2024-09-18,Q1,5.645446897643238,Expensive,0.13424657534246576,False,1,False,261.17,204.0,585,8.358540414289536,True,False,False
2526773,Charming comfort 1 BR / Studio,12165186,Masha,Brighton,42.34272,-71.15672,Entire home/apt,67.0,91,18,2022-08-20,0.15,3,123,0,2024-09-18,Q1,4.204692619390966,Budget,0.336986301369863,False,1,False,161.32,132.0,532,-58.46764195388049,True,False,False
2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,887148,Dawn,Charlestown,42.38148,-71.06967,Entire home/apt,450.0,91,0,,,3,365,0,2024-09-18,Q1,6.1092475827643655,Expensive,1.0,True,1,False,313.87,209.0,188,43.37145952145793,True,False,False
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,Katy,Hyde Park,42.26043,-71.11766,Entire home/apt,275.0,2,128,2024-09-16,1.02,1,11,13,2024-09-18,Q1,5.616771097666572,Expensive,0.030136986301369864,False,1,False,129.21,110.0,144,112.83182416221653,True,False,False
3193484,2 Minutes Walk  to the Red Line!,16186589,Marie,Dorchester,42.28814,-71.06889,Private room,50.0,30,12,2024-08-31,0.11,27,337,3,2024-09-18,Q1,3.912023005428146,,0.9232876712328767,True,1,False,118.56,91.0,1084,-57.827260458839405,False,False,True
3229255,1bd Boston apt - Convenient & quiet,16343599,Ella & Will,Roslindale,42.28657,-71.13236,Entire home/apt,159.0,2,174,2024-09-01,1.41,1,137,26,2024-09-18,Q1,5.0689042022202315,Comfort,0.37534246575342467,False,1,False,134.0,110.0,236,18.65671641791045,True,False,False
3294152,"Garden Suite near subway, beach",9898255,Jessica,Dorchester,42.31281,-71.06098,Entire home/apt,131.0,2,254,2024-08-12,2.04,3,276,6,2024-09-18,Q1,4.875197323201151,Moderate,0.7561643835616438,True,1,False,118.56,91.0,1084,10.492577597840754,True,False,False
3316049,Beautiful Junior 1-bedroom apartment,16742781,Jerry,South End,42.34512,-71.06492,Entire home/apt,160.0,91,0,,,1,149,0,2024-09-18,Q1,5.075173815233827,Comfort,0.40821917808219177,False,1,False,261.17,204.0,585,-38.737220967186126,True,False,False
