id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,29,26,2024-08-09,0.23,1,199,2,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,142,3,128,2024-08-29,0.68,10,65,9,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,171,3,132,2024-08-18,0.72,10,58,7,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,125,91,29,2024-05-15,0.24,4,140,2,
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,130,91,9,2019-07-22,0.09,13,228,0,
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,117,32,5,2023-11-19,0.07,13,324,1,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,130,32,1,2024-01-05,0.12,13,316,1,
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,143,30,52,2023-08-19,0.30,29,138,0,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,,2,101,2023-09-13,0.58,1,0,0,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,102,29,100,2024-08-10,0.58,1,180,5,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,140,2024-08-09,0.82,1,43,3,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,110,1,334,2024-09-02,1.96,5,355,2,STR-492781
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,145,2024-02-29,0.87,5,107,2,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,100,32,19,2020-09-08,0.14,4,352,0,
